game_id	play_id	player_to_predict	nfl_id	frame_id	play_direction	absolute_yardline_number	player_name	player_height	player_weight	player_birth_date	player_position	player_side	player_role	x	y	s	a	dir	o	num_frames_output	ball_land_x	ball_land_y
2023111906	55	FALSE	47971	1	right	35	David Long Jr.	5-11	224	1996-10-12	ILB	Defense	Defensive Coverage	38.49	19.47	0.15	0.13	259.69	277.75	7	33.4700012207031	12.1400003433228
2023111906	55	FALSE	47971	2	right	35	David Long Jr.	5-11	224	1996-10-12	ILB	Defense	Defensive Coverage	38.46	19.48	0.14	0.13	261.4	278.56	7	33.4700012207031	12.1400003433228
2023111906	55	FALSE	47971	3	right	35	David Long Jr.	5-11	224	1996-10-12	ILB	Defense	Defensive Coverage	38.43	19.5	0.14	0.12	268.64	280.43	7	33.4700012207031	12.1400003433228
2023111906	55	FALSE	47971	4	right	35	David Long Jr.	5-11	224	1996-10-12	ILB	Defense	Defensive Coverage	38.42	19.54	0.17	0.85	298.11	285.53	7	33.4700012207031	12.1400003433228
2023111906	55	FALSE	47971	5	right	35	David Long Jr.	5-11	224	1996-10-12	ILB	Defense	Defensive Coverage	38.39	19.56	0.32	1.57	318.15	289.85	7	33.4700012207031	12.1400003433228
2023111906	55	FALSE	47971	6	right	35	David Long Jr.	5-11	224	1996-10-12	ILB	Defense	Defensive Coverage	38.37	19.59	0.46	1.63	332.57	292.12	7	33.4700012207031	12.1400003433228
2023111906	55	FALSE	47971	7	right	35	David Long Jr.	5-11	224	1996-10-12	ILB	Defense	Defensive Coverage	38.36	19.64	0.62	1.55	342.37	294.05	7	33.4700012207031	12.1400003433228
2023111906	55	FALSE	47971	8	right	35	David Long Jr.	5-11	224	1996-10-12	ILB	Defense	Defensive Coverage	38.33	19.71	0.83	1.65	341.48	296.34	7	33.4700012207031	12.1400003433228
2023111906	55	FALSE	47971	9	right	35	David Long Jr.	5-11	224	1996-10-12	ILB	Defense	Defensive Coverage	38.29	19.8	1.01	1.45	337.36	299.86	7	33.4700012207031	12.1400003433228
2023111906	55	FALSE	47971	10	right	35	David Long Jr.	5-11	224	1996-10-12	ILB	Defense	Defensive Coverage	38.23	19.91	1.25	1.46	333.91	297.98	7	33.4700012207031	12.1400003433228
2023111906	55	FALSE	47971	11	right	35	David Long Jr.	5-11	224	1996-10-12	ILB	Defense	Defensive Coverage	38.13	20.02	1.47	1.52	326.32	300.41	7	33.4700012207031	12.1400003433228
2023111906	55	FALSE	47971	12	right	35	David Long Jr.	5-11	224	1996-10-12	ILB	Defense	Defensive Coverage	38.03	20.15	1.67	1.55	322.91	300.41	7	33.4700012207031	12.1400003433228
